sku,product_name,category_id,category_name,manufacturer,brand_name_or_brand
IT-5K1X-K4SX,"Blue Summit Supplies #8 Business Envelopes, Double Window, Security Tint, For QuickBooks, Self Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
XL-XGCX-ED9Q,"Blue Summit Supplies #9 Invoice Envleopes, Double Window, Security Tint, For Quickbooks, Self Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
EW-OH5A-IPQJ,"Blue Summit Supplies #10 Business Envelopes, Double Window, Security Tint, Self-Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
06-5BHM-5L9Q,"Blue Summit Supplies #10 Business Envelopes, Single Window, Security Tint, Self Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
RZ-RMQ2-MUN4,"Blue Summit Supplies #10 Business Envelopes, Double Window, Security Tint, Gummed, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
LV-F69P-A3C1,"Blue Summit Supplies #8 Check Envelopes, Double Window, Security Tint, Gummed, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
0R-7YPW-WR5A,"Blue Summit Supplies #10 Business Envelopes, Windowless, Security int, Self Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
RI-U0J3-ZQP0,"Blue Summit Supplies #9 Invoice Envelopes, Double Window, Security Tint, Flip & Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
JE-Z02Z-X6NA,"Blue Summit Supplies #10 Business Envelopes, Double Window, Security Tint, Flip & Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
YA-S69Y-PL3S,"Blue Summit Supplies Security Catalog Envelopes, 9"" x 12"", White, Windowless, Self-Seal, 100 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
CR-INWS-LHTN,"Blue Summit Supplies #8 Business Envelopes, Double Window, Security Tint, For QuickBooks, Flip & Seal, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
1A-U7J6-MATY,"Blue Summit Supplies #10 Business Envleopes, Single Window, No Tint, Gummed, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
BU-P3WO-IBFC,"Blue Summit Supplies #10 Business Envelopes, Windowless, Security Tint, Gummed, 500 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
MM-5VTV-QX5V,"Blue Summit Supplies Catalog Envelopes, 9"" x 12"", Kraft, Windowless, Self-Seal, 100 Pack",35,Mailing Envelopes,Three Color Stone,Blue Summit Supplies
MB-0D3W-M7PA,"Blue Summit Supplies Medical Claims Forms, CMS-1500, 500 Pack",308,Medical Forms,Complyright,
UX-BY4F-6OC2,"Blue Summit Supplies Check Stock, Letter Size, Blank Security Checks, 3-Part Perforated, 500 Pack",46,Check Stock,Wilmer,
2T-AQZ6-J3ZG,"Blue Summit Supplies Fastener Folders, Reinforced, Letter, End Tab, Manila, 50 Pack",30,Fastener Folders,Three Color Stone,
G1-QU1R-NO1S,"Blue Summit Supplies #10 Business Envelopes, Windowless, Security Tint, Self Seal, 100 Pack",35,Mailing Envelopes,Doganzarf,Blue Summit Supplies
43-6YWK-NSGY,"Blue Summit Supplies Catalog Envelopes, 6"" x 9"", Kraft Paper, Windowless, Press & Seal, 100 Pack",35,Mailing Envelopes,Three Color Stone ,Blue Summit Supplies
BSS-92588-312,"Blue Summit Supplies File Folders, Letter, 1/3 Tab, Blue, 100 Pack",29,File Folders,Three Color Stone,Blue Summit Supplies
BSS-92588-315,"Blue Summit Supplies File Folders, Letter, 1/3 Tab, Orange, 100 Pack",29,File Folders,Three Color Stone,Blue Summit Supplies
